Service Item In Oks,Service Item Description,Customer Name,Pod Name,Data Center Name
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-DEV2,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-DEV3,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-DEV4,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,A5-DB Operations (M) Berhad,EXAJ,ap-singapore-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,A5-DB Operations (M) Berhad,EXAJ-DEV1,ap-singapore-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,A5-DB Operations (M) Berhad,EXAJ-TEST,ap-singapore-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU DHABI Airports Company - ADAC,HCTS,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU DHABI Airports Company - ADAC,HCTS-DEV2,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU DHABI Airports Company - ADAC,HCTS-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP-DEV3,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,HDLM,uk-london-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,HDLM-TEST,uk-london-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV1,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV10,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV11,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV12,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV2,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV3,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV4,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV5,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV6,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV7,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV8,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV9,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DR,eu-amsterdam-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-TEST,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADS Holding,EKEK,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADS Holding,EKEK-DEV3,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADS Holding,EKEK-DEV5,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADS Holding,EKEK-DEV7,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADS Holding,EKEK-DEV9,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADS Holding,EKEK-TEST,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AEGON Nederland NV,EQVF,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AEGON Nederland NV,EQVF-DEV1,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AEGON Nederland NV,EQVF-TEST,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AFFIN BANK BERHAD,EWZE,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AFFIN BANK BERHAD,EWZE-DEV1,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AFFIN BANK BERHAD,EWZE-TEST,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ALTINKILICLAR KAHVE KAKAO URUNLERI TIC. VE SAN. A.S.,ESXK,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ALTINKILICLAR KAHVE KAKAO URUNLERI TIC. VE SAN. A.S.,ESXK-TEST,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ASB Bank Limited,EPIT,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ASB Bank Limited,EPIT-DEV1,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ASB Bank Limited,EPIT-DEV2,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ASB Bank Limited,EPIT-TEST,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T,ESAC,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T,ESAC-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T,ESAC-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EECV,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EECV-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EGKY,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EGKY-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EGKY-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EGKY-DEV7,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EGKY-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EKZH,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EKZH-DEV1,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EKZH-DEV2,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EKZH-DEV3,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EKZH-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EMCO,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EMCO-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-DEV4,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-DEV5,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-DEV6,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EVKD-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWTP,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWTP-DEV1,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWTP-DEV2,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWTP-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWUL,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWUL-DEV1,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWUL-DEV2,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWUL-DEV3,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,AT&T Services,EWUL-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ-DEV13,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ-DEV4,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ATT Services Inc.,EQLJ-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON-DEV1,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON-DEV19,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON-DEV2,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON-DEV3,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON-DEV6,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Latif Jameel Commercial Development Company Ltd,EJON-TEST,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Rahman Saad Al Rashed & Sons Co (ARTAR),EVQO,me-jeddah-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Rahman Saad Al Rashed & Sons Co (ARTAR),EVQO-DEV1,me-jeddah-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abdul Rahman Saad Al Rashed & Sons Co (ARTAR),EVQO-TEST,me-jeddah-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Developmental Holding Company (ADDHC),ENAE,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Developmental Holding Company (ADDHC),ENAE-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Developmental Holding Company (ADDHC),ENAE-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Developmental Holding Company (ADDHC),EVBO,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Developmental Holding Company (ADDHC),EVBO-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Executive Office,EWWG,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Executive Office,EWWG-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Executive Office,EWWG-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Global Market,EUKK,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Global Market,EUKK-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Global Market,EUKK-DEV3,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Global Market,EUKK-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Health Services Company - SEHA,EUTV,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Health Services Company - SEHA,EUTV-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Health Services Company - SEHA,EUTV-DEV3,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Health Services Company - SEHA,EUTV-DEV5,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Health Services Company - SEHA,EUTV-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,ELHD,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,ELHD-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,ELHD-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,EVRP,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,EVRP-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,EVRP-DEV2,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Investment Authority-ADIA,EVRP-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Islamic Bank,HCIQ,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Islamic Bank,HCIQ-DEV1,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Islamic Bank,HCIQ-DR,eu-amsterdam-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Abu Dhabi Islamic Bank,HCIQ-TEST,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV1,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV15,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV16,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV17,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV18,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV19,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV2,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV20,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV21,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-DEV3,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,EDWE-TEST,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,ESWX,ap-melbourne-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,ESWX-DEV1,ap-melbourne-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accenture Australia Pty Ltd,ESWX-TEST,ap-melbourne-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV1,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV11,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV13,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV15,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV2,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV5,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV7,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-DEV9,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Accident Compensation Corporation,ERNW-TEST,ap-sydney-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Activision Publishing, Inc.",ETF,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Activision Publishing, Inc.",FXA,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Activision Publishing, Inc.",JTF,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Activision Publishing, Inc.",ZQF,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Activision Publishing, Inc.",ZQF-DR,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-DEV4,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-DEV5,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-DEV6,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Advance Stores Company Incorporated,EJIP-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EJYA,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EJYA-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EJYA-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EJYA-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EJYA-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EKMT,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EKMT-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EKMT-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EKMT-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Airbnb, Inc.",EKMT-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Al Rajhi Banking & Investment Corporation (Malaysia) Bhd,EUSY,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Al Rajhi Banking & Investment Corporation (Malaysia) Bhd,EUSY-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Alberta Health Services,EKUV,ca-toronto-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Alberta Health Services,EKUV-DEV1,ca-toronto-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Alberta Health Services,EKUV-DEV2,ca-toronto-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,Alberta Health Services,EKUV-TEST,ca-toronto-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV10,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV17,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV8,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-DEV9,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Albertsons Companies, Inc.",EOFD-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV10,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV11,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV5,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV7,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-DEV9,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",ETJO-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",EVRH,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,"Allegis Group, Inc.",EVRH-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,CCWX,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,CCWX-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,CCWX-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,CCWX-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,CCWX-DEV4,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,CCWX-TEST,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,EGHD,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,EGHD-DEV1,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,EGHD-DEV2,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,EGHD-DEV3,us-ashburn-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,American Electric Power Service Corporation,EGHD-DEV4,us-ashburn-1
