Service Item In Oks,Service Item Description,Name,Environment Name,Contract Start Date,Contract End Date
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,AICPA,EBWS-TEST,2017-08-22 00:00:00,2021-08-21 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,AICPA,EBWS-TEST,2021-08-22 00:00:00,2023-10-11 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,ARAB OPEN UNIVERSITY-KWT,EEVA,2014-05-29 00:00:00,2017-05-28 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,ARAB OPEN UNIVERSITY-KWT,EEVA-TEST,2014-05-29 00:00:00,2017-05-28 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi Islamic Bank,HCIQ,2013-12-13 00:00:00,2016-12-12 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi Islamic Bank,HCIQ-DEV1,2013-12-13 00:00:00,2016-12-12 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi Islamic Bank,HCIQ-DR,2013-12-13 00:00:00,2016-12-12 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi Islamic Bank,HCIQ-TEST,2013-12-13 00:00:00,2016-12-12 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUB,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUB,2016-02-25 00:00:00,2024-01-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUB-DR,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUB-DR,2016-02-25 00:00:00,2024-01-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUB-TEST,2016-02-25 00:00:00,2019-02-24 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,Abu Dhabi National Hotels,ECUB-TEST,2016-02-25 00:00:00,2024-01-24 00:00:00
